asset_id,canonical_site_id,canonical_slug,name_ar,slot,local_filename,sha256,mime_type,file_size_bytes,creator,copyright_holder,source_url,creation_or_capture_date,licence,permission_evidence_file,attribution_text_ar,allowed_use,territory,expiry_date,people_consent,private_property_consent,sensitive_location_review,derivative_edits,review_status,reviewer,review_date,rejection_or_hold_reason
,site-2c1f6b6dbd51,knys-brqyn-2c1f6b,كنيسة برقين,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-2c1f6b6dbd51,knys-brqyn-2c1f6b,كنيسة برقين,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-fc3cde18193c,mqm-lshykh-hsn-fc3cde,مقام الشيخ حسن,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-fc3cde18193c,mqm-lshykh-hsn-fc3cde,مقام الشيخ حسن,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-fc3cde18193c,mqm-lshykh-hsn-fc3cde,مقام الشيخ حسن,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-fc3cde18193c,mqm-lshykh-hsn-fc3cde,مقام الشيخ حسن,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-a28891855f38,bld-dyr-lgswn-a28891,بلدة دير الغصون,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-a28891855f38,bld-dyr-lgswn-a28891,بلدة دير الغصون,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-a28891855f38,bld-dyr-lgswn-a28891,بلدة دير الغصون,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-a28891855f38,bld-dyr-lgswn-a28891,بلدة دير الغصون,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-7a4bd929848c,khrb-brj-l-bd-7a4bd9,خربة برج العبد,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-7a4bd929848c,khrb-brj-l-bd-7a4bd9,خربة برج العبد,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-7a4bd929848c,khrb-brj-l-bd-7a4bd9,خربة برج العبد,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-7a4bd929848c,khrb-brj-l-bd-7a4bd9,خربة برج العبد,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-0c0a379f20f7,khrb-jb-0c0a37,خربة جبع,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-0c0a379f20f7,khrb-jb-0c0a37,خربة جبع,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-0c0a379f20f7,khrb-jb-0c0a37,خربة جبع,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-0c0a379f20f7,khrb-jb-0c0a37,خربة جبع,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-be1c2ce90997,mdyn-twlkrm-ltrykhy-be1c2c,مدينة طولكرم التاريخية,hero,,,,,,,,,,,,,,,,,,,pending,,,
